
ui_music_volume|Musique :
ui_party_b_group_information|%s appartient au groupe %s
ui_thrown_or_s|Lancé/%s
ui_ranged_damage|À distance : %d%s
ui_overall_quality|Qualité Globale
ui_shader_quality|Qualité Shader :
ui_flora_lod_detail|Détails des Arbres :
ui_flora_degrade_distance|Distance de Dégradation des Arbres :
ui_antialiasing|Anti-Crénelage :
ui_use_depth_effects|Utiliser Effets de Profondeur
ui_hdr_mode|Mode HDR :
ui_autoexpore|Auto-exposition
ui_choose_profile|Choir profil
ui_create|Créer
ui_edit|Modifier
ui_join_game|Rejoindre une partie
ui_host_game|Héberger une partie
ui_custom|Personnaliser
ui_medium|Moyen
ui_male|Homme
ui_female|Femme
ui_gender|Choisir votre Sexe :
ui_edit_profile|Modifier le profil
ui_new_profile|Nouveau profil
ui_enter_username|Entrer Pseudo :
ui_invalid_username|Les pseudos ne peuvent contenir que des lettres, chiffres ou le caractère '_'.
ui_confirmation|Êtes-vous sûr ?
ui_multiplayer|Multijoueur
ui_server_name|Serveur
ui_module_name|Module
ui_game_type|Type de jeu
ui_map_name|Carte
ui_ping|Ping
ui_dedicated|Dédié
ui_number_of_players|Joueurs
ui_password_protected|Mot de passe
ui_connect|Connecter
ui_local_area_network|Local Area Network
ui_internet|Internet
ui_favorites|Favoris
ui_source|Source :
ui_server_password|Serveur Mot de passe :
ui_refresh|Actualiser
ui_start_search|Rechercher
ui_add_to_favorites|Ajouter aux Favoris
ui_remove_from_favorites|Supprimer des favoris
ui_use_speedtree|Utiliser SpeedTree
ui_use_instancing|Utiliser Instancing
ui_error|Erreur
ui_error_server_full|Le serveur est plein.
ui_error_server_full_for_non_private|Le serveur est plein pour les joueurs sans mot de passe.
ui_error_server_password_incorrect|Mot de passe incorrect.
ui_error_incorrect_serial|Numéro de série incorrect.
ui_error_incorrect_authorization_key|Clé d'autorisation incorrecte.
ui_error_banned_from_server|Vous êtes banni de ce serveur.
ui_error_username_taken|Votre pseudo est utilisé par un autre joueur.
ui_error_authentication_failed|L'authentification a échoué.
ui_unable_to_connect_to_server|Impossible de se connecter au serveur.
ui_connection_to_server_is_lost|Connexion au serveur perdue.
ui_kicked_from_server|Kické du serveur.
ui_switch_to_module_question|Ce serveur exécute un autre module que celui que vous utilisez actuellement. Voulez-vous que Mount&Blade passe sur ce module ?
ui_download_module_question|Ce serveur exécute un module qui n'est pas installé sur votre ordinateur. Voulez-vous visiter le site de téléchargement de ce module maintenant ?
ui_download_mb_new_version_question|Ce serveur exécute une version plus récente (%d.%d%d%d) de Mount&Blade que celle que vous utilisez actuellement (%d.%d%d%d). Voulez-vous visiter le site de téléchargement de TaleWorlds maintenant ?
ui_download_mb_old_version_question|Ce serveur exécute une version antérieure (%d.%d%d%d) de Mount&Blade que celle que vous utilisez actuellement (%d.%d%d%d).
ui_download_module_new_version_question|Ce serveur exécute une version plus récente (%d.%d%d%d) du module que que vous utilisez (%d.%d%d%d). Voulez-vous visiter le site de téléchargement de ce module maintenant ?
ui_download_module_old_version_question|Ce serveur exécute une version antérieure (%d.%d%d%d) du module que vous utilisez (%d.%d%d%d).
ui_authenticating_with_steam|Authentification auprès de Steam...
ui_validating_serial_number|Validation du numéro de série...
ui_scanning_lan|Analyse du réseau local...
ui_retrieving_servers|Récupération de la liste des serveurs...
ui_shield_size2|Taille : %dx%d
ui_click_to_view_notes|Cliquez pour afficher les notes
ui_retrieving_server_infos|Récupération information des serveurs (%d)...
ui_connecting_to_server|Connexion au serveur...
ui_requesting_to_join_the_game|Requête d'accès à la partie...
ui_loading|Chargement...
ui_group_value_control|Groupe %d !
ui_drop_weapon|Lâcher Arme
ui_multiplayer_message_all|Message à Tous
ui_multiplayer_message_team|Message à Équipe
ui_command_line|Ligne de Commande
ui_use_ranged_weapon_as_melee|Changer de mode d'armement
ui_send_message_all|Message à Tous
ui_send_message_team|Message à Équipe
ui_select|Sélectionner
ui_context_menu|Menu contextuel
ui_round_starts_in_value_seconds|Le tour commence dans %d secondes...
ui_watching_value|Poursuite de %s
ui_capital_spec|SPEC
ui_capital_dead|MORT(S)
ui_instancing_error1|Could not lock Instance Buffer (size: %d), Disabled mesh-instancing (Error Code: %d)
ui_instancing_error2|Could not fit instanced objects, Disabled mesh-instancing
ui_by_keyboard|Par touches de déplacement
ui_combat_speed_slowest|Le Plus Lent
ui_combat_speed_slower|Lent
ui_combat_speed_normal|Normal
ui_combat_speed_faster|Rapide
ui_combat_speed_fastest|Le Plus Rapide
ui_module_newer_than_application|Le module que vous avez sélectionné nécessite une version plus récente du jeu.
ui_module_older_than_application|Le module que vous avez sélectionné nécessite une version plus ancienne du jeu.
ui_unbalanced|Déséquilibré
ui_can_crush_through_blocks|Peut utiliser les blocages à des fins destructrices
ui_turn_camera_with_horse|Tourner Caméra avec Cheval à la Première Personne :
ui_widescreen_mode_on|Mode écran multiple Activé
ui_widescreen_mode_off|Mode écran multiple Désactivé
ui_notification_cant_upgrade|(Impossible d'améliorer : pas assez d'argent)
ui_turn_never|Jamais
ui_turn_ranged_only|À distance uniquement
ui_turn_melee_only|Au corps-à-corps uniquement
ui_turn_always|Toujours
ui_general_options|Options générales
ui_vac_enabled|Valve Anti Cheat Activé
ui_campaign_ai|IA de Campagne :
ui_downloading_map|Téléchargement de la Carte (%d Ko)
ui_download_completed|Téléchargement terminé.
ui_server_filter|Filtre de serveur
ui_has_players|A joueurs
ui_is_not_full|Place libre
ui_is_password_free|Pas de mot de passe
ui_native_only|Natif uniquement
ui_ping_limit|Limite de ping
ui_filter_info|%d jeux et %d joueurs filtrés
ui_is_version_compatible|Compatible avec la version
ui_ttnet_account|TTNET Oyun account
ui_username|Nom d'utilisateur
ui_password|Mot de passe
ui_error_incorrect_username_or_password|Nom d'utilisateur ou mot de passe incorrect
ui_validating_account|Validation du Compte en cours ...
ui_plase_enter_your_serial_key|Veuillez entrer votre clé de série
ui_texture_detail2|Détails des Textures :
ui_antialiasing2|Anti-Crénelage :
ui_troop_upgrades|Arbre des troupes
ui_crouch|S'accroupir
